Treatments,Time,BT,BV,CH,BU,CS,CA,DP,DSM,MS001,MS008,MS014
MonocultureCS_0,12,0.0,0.0,0.0,0.0,0.400433341,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCS_0,15,0.0,0.0,0.0,0.0,0.448433339,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCS_0,18,0.0,0.0,0.0,0.0,0.593699991,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCS_0,21,0.0,0.0,0.0,0.0,0.673966665,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureCS_0,24,0.0,0.0,0.0,0.0,0.669933338,0.0,0.0,0.0,0.0,0.0,0.0
MonocultureDP_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006600002,0.0,0.0,0.0,0.0
MonocultureDP_0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.019833336,0.0,0.0,0.0,0.0
MonocultureDP_0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0
MonocultureDP_0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.076800003,0.0,0.0,0.0,0.0
MonocultureDP_0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.120400006,0.0,0.0,0.0,0.0
MonocultureDP_0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.126866668,0.0,0.0,0.0,0.0
MonocultureDP_0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.138366679,0.0,0.0,0.0,0.0
MonocultureDP_0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.156266659,0.0,0.0,0.0,0.0
MonocultureDP_0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.172033329,0.0,0.0,0.0,0.0
MonocultureDSM_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003499999,0.0,0.0,0.0
MonocultureDSM_0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013699998,0.0,0.0,0.0
MonocultureDSM_0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187599996,0.0,0.0,0.0
MonocultureDSM_0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570199986,0.0,0.0,0.0
